FRASEO,P11_COD1,P11_COD2,P11_COD3
así estaria preparado para que mi familia siempre este bien de salud o por cualquier emergencia                                                                                                                                                               ,ASEGURAR A MI FAMILIA,,
para cuando algún miembro de mi familia o yo estemos enfermos                                                                                                                                                                                                 ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Por si me enfermo tener de donde pagar                                                                                                                                                                                                                         ,GASTOS MÉDICOS,,
porque en mi trabajo no tengo seguro y uno nunca sabe ya que hay muchas enfermedades ahorita                                                                                                                                                                   ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
para una enfermedad no quedarme sin tratamiento por falta de dinero                                                                                                                                                                                            ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
"para casos de urgencia, como una operación                                                                                                                                                                                                                    ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
para pagar los gaste de una enfermedad                                                                                                                                                                                                                         ,GASTOS MÉDICOS,,
por algún problema de salud                                                                                                                                                                                                                                   ,GASTOS MÉDICOS,,
para pagar el dentista para mi hijo                                                                                                                                                                                                                            ,GASTOS MÉDICOS,,
para cualquier emergencia médica                                                                                                                                                                                                                              ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"Para proteger a mi familia, por alguna enfermedad a un futuro.                                                                                                                                                                                                 ",AHORRAR E INVERTIR PARA UN FUTURO,GASTOS MÉDICOS,
para gastos medicos                                                                                                                                                                                                                                            ,GASTOS MÉDICOS,,
Para asegurar a mi esposa e hijos                                                                                                                                                                                                                              ,ASEGURAR A MI FAMILIA,,
Para pagar gastos medicos.                                                                                                                                                                                                                                     ,GASTOS MÉDICOS,,
En caso de enfermedad                                                                                                                                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
Para gastos medicos en caso de enfermedad                                                                                                                                                                                                                      ,GASTOS MÉDICOS,,
Para alguna futura enfermedad y poder pagar los gastos.                                                                                                                                                                                                        ,GASTOS MÉDICOS,,
para operaciones imprevistas                                                                                                                                                                                                                                   ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
por que uno nunca sabe cuando puede enfermarse de algo muy grave                                                                                                                                                                                               ,GASTOS MÉDICOS,PARA TENER UN RESPALDO EN EMERGENCIAS,
Para protegerme y proteger a mi familia de alguna enfermedad si llegase a suceder.                                                                                                                                                                             ,ASEGURAR A MI FAMILIA,,
Para protegerse de enfermedades                                                                                                                                                                                                                                ,GASTOS MÉDICOS,,
en caso de que se presentará una enfermedad y no tuviera el suficiente dinero para pagar los estudios y la estancia en el hospital                                                                                                                            ,GASTOS MÉDICOS,,
"para enfermedad, puesto que los doctores son muy caros.                                                                                                                                                                                                        ",GASTOS MÉDICOS,,
por si se enferma su hija                                                                                                                                                                                                                                      ,GASTOS MÉDICOS,PARA TENER UN RESPALDO EN EMERGENCIAS,
para alguna enfermedad                                                                                                                                                                                                                                         ,GASTOS MÉDICOS,,
para pagara los medicamentos de sus hijos en caso de enfermar                                                                                                                                                                                                  ,GASTOS MÉDICOS,,
"lo usaría para tener algo seguro en cuanto a mi salud, porque uno nunca sabe cuando se enfermará o si tendrá los recursos suficientes para poder pagar un hospital                                                                                          ",GASTOS MÉDICOS,,
porque las consultas son muy caras y a veces no cubren mis necesidades                                                                                                                                                                                         ,GASTOS MÉDICOS,,
para alguna operacion de gasto mayor ocuparla porque muxhas veces sale caro                                                                                                                                                                                    ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para poder asegurar tambien a sus hijos y y no ir a los medicos particulares                                                                                                                                                                                   ,ASEGURAR A MI FAMILIA,,
Lo utilizaría para atención médica personal y de mi familia                                                                                                                                                                                                 ,GASTOS MÉDICOS,,
para cuando pase un accidente estar preparada y tenga un dinero guardado                                                                                                                                                                                       ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para solventar gastos de alguna enfermedad que llegará a surgir.                                                                                                                                                                                              ,GASTOS MÉDICOS,,
En caso de alguna enfermedad grave que llegara a surgir.                                                                                                                                                                                                       ,GASTOS MÉDICOS,,
Para gastos médicos.                                                                                                                                                                                                                                          ,GASTOS MÉDICOS,,
constantemente por cancer que padesco                                                                                                                                                                                                                          ,GASTOS MÉDICOS,,
cuando mi hijo o yo requieramos de una operación de emergencia                                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para cualquier imprevisto o accidente mi hijo no tenga problema                                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"para que mi hijo este seguro en caso de algún problema o accidente,                                                                                                                                                                                           ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
por prevencion y antecedentes medicos que hay en la familia (diabetes)                                                                                                                                                                                         ,GASTOS MÉDICOS,,
en caso de tener una enfermedad atenderme en un buen hospital                                                                                                                                                                                                  ,GASTOS MÉDICOS,,
por que vivo solo para prevenir alguna enfermedad que me pudiera dar                                                                                                                                                                                           ,GASTOS MÉDICOS,,
para pagar alguna enfermedad grave                                                                                                                                                                                                                             ,GASTOS MÉDICOS,,
así estar preparada en caso de una enfermadad y tenga como protegerme                                                                                                                                                                                         ,GASTOS MÉDICOS,,
para cual quier cosa que pase ami familia tenerla protegida                                                                                                                                                                                                    ,ASEGURAR A MI FAMILIA,,
dice que por la edad quisiera tener algo asegurado ya que suele enfermarse muy constantemente                                                                                                                                                                  ,GASTOS MÉDICOS,ASEGURAR A MI FAMILIA,
para en causa de tener un accidente estar protegido                                                                                                                                                                                                            ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Porque nunca sabes cuando te puedes enfermar                                                                                                                                                                                                                   ,GASTOS MÉDICOS,PARA TENER UN RESPALDO EN EMERGENCIAS,
en mi trabajo no me dan IMSS y he estado pensando en contratar uno de gastos médicos mayores                                                                                                                                                                  ,GASTOS MÉDICOS,,
para problemás a futuro                                                                                                                                                                                                                                       ,AHORRAR E INVERTIR PARA UN FUTURO,,
para pagar doctores en caso de enfermedad                                                                                                                                                                                                                      ,GASTOS MÉDICOS,,
seguro medico para mis hijos que están protegidos                                                                                                                                                                                                             ,ASEGURAR A MI FAMILIA,GASTOS MÉDICOS,
enfermedades crónicas                                                                                                                                                                                                                                         ,GASTOS MÉDICOS,,
para cubrirme de algúna enfermedad y no tener que preocuparse por gastar mucho dinero                                                                                                                                                                         ,GASTOS MÉDICOS,,
"lo aprovecharía porque a veces es muy dificil poder curarse, además apenas hay que comer y ahora para enfermarse no hay recursos                                                                                                                             ",GASTOS MÉDICOS,PARA TENER UN RESPALDO EN EMERGENCIAS,
para enfermedades                                                                                                                                                                                                                                              ,GASTOS MÉDICOS,,
para emergencias de salud                                                                                                                                                                                                                                      ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
en caso de tener una enfermedad costosa me ayudaría                                                                                                                                                                                                           ,GASTOS MÉDICOS,,
en una emergencia me preocupa no tener suficiente dinero para cubrir los gastos                                                                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para tenerlo de emergencia en caso de algún percance                                                                                                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
por si algo llegará a suceder estar tranquilo                                                                                                                                                                                                                 ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para dejar una preocupación menos al tener un accidente                                                                                                                                                                                                       ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
por si hay alguna enfermedad enla familia tener como solventar                                                                                                                                                                                                 ,GASTOS MÉDICOS,,
dice que le preocupa mucho su salud que últimamente no tiene quien le apoye económicamente                                                                                                                                                                   ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Comenta que le gustaría que lo atendieran en un hospital particular ya que en seguro no siempre cuentan con medicamentos que necesita                                                                                                                         ,GASTOS MÉDICOS,,
Comenta que para urgencias de salud por la edad que tiene y necesita estar protegido                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para proteger a mi familia de alguna enfermedad.                                                                                                                                                                                                               ,GASTOS MÉDICOS,,
lo tendría para cualquier emergencia medica o cuando haya gastos muy grandes para mejorar la salud                                                                                                                                                            ,PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,
porque no tengo seguro en mi trabajo y cuando me enfermo gasto mucho                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para poder utilizarlo en algun emergencia                                                                                                                                                                                                                      ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
un seguro médico para mi compañera y para mi hijo que ya va a nacer                                                                                                                                                                                          ,GASTOS MÉDICOS,,
para no tener preocupación y que salga mas barato los estudios y consultas                                                                                                                                                                                    ,GASTOS MÉDICOS,,
para estar seguros y hacer unos estudios que me pidieron                                                                                                                                                                                                       ,GASTOS MÉDICOS,,
para cuando sea más grande                                                                                                                                                                                                                                    ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
con la edad llegan más enferedades y son gastos y sería un gran alivio un seguro de salud                                                                                                                                                                    ,GASTOS MÉDICOS,,
la encuestada dice tener artritis y que necesita chequeo constante operaciones                                                                                                                                                                                 ,GASTOS MÉDICOS,,
para cualquier enfermedad que le llagara a pasar a  mi esposo                                                                                                                                                                                                  ,GASTOS MÉDICOS,,
para estar más tranquilo en caso de algo inesperado                                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para pagar gastos médicos de mi enfermedad.                                                                                                                                                                                                                   ,GASTOS MÉDICOS,,
Para gastos de mi diabetes.                                                                                                                                                                                                                                    ,GASTOS MÉDICOS,,
para pagar cualquier enfermedad                                                                                                                                                                                                                                ,GASTOS MÉDICOS,,
para su tranquilidad si tiene una enfermedad                                                                                                                                                                                                                   ,GASTOS MÉDICOS,,
Para enfermedad de algún familiar                                                                                                                                                                                                                             ,GASTOS MÉDICOS,,
"para que el dia que alguen de mi familia necesitara alguna cirugia, y no la cubriera el seguro se le hiciera en alguna clinica                                                                                                                                 ",GASTOS MÉDICOS,,
para servicios médicos                                                                                                                                                                                                                                        ,GASTOS MÉDICOS,,
"para no gastar mucho dinero en dado de una enfermedad, son muy caros los hospitales o medicina                                                                                                                                                                 ",GASTOS MÉDICOS,,
para mis hijos                                                                                                                                                                                                                                                 ,ASEGURAR A MI FAMILIA,,
por algún accidente                                                                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para estar protegido si me pasa algo                                                                                                                                                                                                                           ,ASEGURAR A MI FAMILIA,,
Pues nosotros solo tenemos el seguro popular y pues ir al médico particular sale caro                                                                                                                                                                         ,GASTOS MÉDICOS,,
no tendría que tener dinero en la casa si no lo pagaria a un banco y la usaria cuando fuera necesario por cualquier emergencia                                                                                                                                ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
seguro medico para mi y mis padres para cuando lo necesiten                                                                                                                                                                                                    ,ASEGURAR A MI FAMILIA,GASTOS MÉDICOS,
yo me enfermo mucho y no tengo seguro medico qu w vubra todas las enfermedades graves                                                                                                                                                                          ,GASTOS MÉDICOS,,
"para tener un fondo de ahorro, en caso sea necesario en caso de alguna operacion para algun familiar o ami misma                                                                                                                                               ",PARA TENER UN RESPALDO EN EMERGENCIAS,GASTOS MÉDICOS,APOYAR A MIS FAMILIARES
me gustaría para estar tranquilo en caso de alguna emergencia pero pues no alcanza el dinero                                                                                                                                                                  ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
no tengo para pagar uno pero me gustaría para tranquilidad de mi familia                                                                                                                                                                                      ,APOYAR A MIS FAMILIARES,,
para las enfermedades                                                                                                                                                                                                                                          ,GASTOS MÉDICOS,,
para cuando tenga una enfermedad se  atendido y no pagar privado                                                                                                                                                                                               ,GASTOS MÉDICOS,,
cualquier emergencia                                                                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"para atención de mis papás, ya que luego sale muy caro los gatos del hospital                                                                                                                                                                                ",GASTOS MÉDICOS,PARA TENER UN RESPALDO EN EMERGENCIAS,
No me gusta el servicio del issste y me gustaría tener algúno de gastos médicos mayores en hospitales privados                                                                                                                                              ,GASTOS MÉDICOS,,
Pues en el trabajo me dan seguro pero pues uno nunca sabe si llegara a ocupar algo más caro                                                                                                                                                                   ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
parz algub accidente                                                                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para alguna operacion urgente que pase la familia                                                                                                                                                                                                              ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
"para unos estudios que necesito hacerme, pero aun no estoy seguro donde                                                                                                                                                                                        ",GASTOS MÉDICOS,,
"para emergencias, luego no hay nadie quien me ayude                                                                                                                                                                                                            ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
para enfermedad yos son muy carosa que los estudios y medic                                                                                                                                                                                                    ,GASTOS MÉDICOS,,
para pagar la enfermedad de mi hijo                                                                                                                                                                                                                            ,GASTOS MÉDICOS,,
para la comodida de mi familia y las enfermedades no dan aviso previo y es bueno tenerlo                                                                                                                                                                       ,GASTOS MÉDICOS,,
uno ya está creciendo un tarde que temprano va a ocupar intervenciones y sería algo muy bueno tenerlo                                                                                                                                                        ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para las emergencias de salud que llegará a tener                                                                                                                                                                                                             ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para cualquier accidente que llegase a tener o a pasar                                                                                                                                                                                                         ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
por si llegara a sufrir algun robo                                                                                                                                                                                                                             ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
asegurar mi casa                                                                                                                                                                                                                                               ,ASEGURAR MI PATRIMONIO,,
para terminar mi casa porque le faltan algúnas cositas y así lo pago de poco en poco                                                                                                                                                                         ,PARA MEJORAS EN LA CASA,,
para saber qué mi casa está asegurada contra robos                                                                                                                                                                                                           ,ASEGURAR MI PATRIMONIO,,
para que mi familia tuviera un techo el día de mañana                                                                                                                                                                                                        ,ASEGURAR A MI FAMILIA,,
para tener protegida mi casa en caso de cualquier desastre                                                                                                                                                                                                     ,ASEGURAR MI PATRIMONIO,,
Para preoteger la casa                                                                                                                                                                                                                                         ,ASEGURAR MI PATRIMONIO,,
para tener asegurada mi casa                                                                                                                                                                                                                                   ,ASEGURAR MI PATRIMONIO,,
de igual forma las situaciones son inesperadas y no esta de más tener asegurado el patrimonio como la casa                                                                                                                                                    ,ASEGURAR MI PATRIMONIO,,
para no quedarme en la calle en caso de una desgracia                                                                                                                                                                                                          ,ASEGURAR A MI FAMILIA,,
Para proteger mi casa en caso de alguna desgracia                                                                                                                                                                                                              ,ASEGURAR MI PATRIMONIO,,
para pagar cualquier probloema de electricidad o de plomeria                                                                                                                                                                                                   ,PAGO DE SERVICIOS,,
También para dejar protegidos a mis hijos                                                                                                                                                                                                                     ,ASEGURAR A MI FAMILIA,,
para robos o perdidas totales de la casa                                                                                                                                                                                                                       ,ASEGURAR MI PATRIMONIO,,
futuro hijos                                                                                                                                                                                                                                                   ,AHORRAR E INVERTIR PARA UN FUTURO,,
para proteger mi patrimonio                                                                                                                                                                                                                                    ,ASEGURAR MI PATRIMONIO,,
asegurarla en caso de un siniestro                                                                                                                                                                                                                             ,ASEGURAR MI PATRIMONIO,,
para cualquier imprevisto en mi casa                                                                                                                                                                                                                           ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para sacar una casa propia y ya no seguir pagando renta                                                                                                                                                                                                        ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para prevenirse en el futuro                                                                                                                                                                                                                                   ,AHORRAR E INVERTIR PARA UN FUTURO,,
por si llegara haber un robo o algun incendio o accidente                                                                                                                                                                                                      ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
asegurar mi hogar                                                                                                                                                                                                                                              ,ASEGURAR MI PATRIMONIO,,
por si pasa algo                                                                                                                                                                                                                                               ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
por si ocurre un accidente                                                                                                                                                                                                                                     ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
remodelacion                                                                                                                                                                                                                                                   ,PARA MEJORAS EN LA CASA,,
por cual quer robo que llegara a surgirme ya que porque cerca de su casa estan robando                                                                                                                                                                         ,ASEGURAR MI PATRIMONIO,,
"para proteger mi casa, ya que no está excenta de que pase algo como un robo o algún accidente                                                                                                                                                                ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
para poder proteger mi casa en caso de un robo                                                                                                                                                                                                                 ,ASEGURAR MI PATRIMONIO,,
gastos personales para el hogar y asi tener una mejor vida                                                                                                                                                                                                     ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
para en causa de un accidente tenga un respaldo y estar protegido                                                                                                                                                                                              ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para proteger mi auto  por cualquier accidente                                                                                                                                                                                                                 ,PARA COMPRAR UN AUTO,ASEGURAR MI PATRIMONIO,
para poder proteger la inversión de mi auto                                                                                                                                                                                                                   ,ASEGURAR MI PATRIMONIO,,
por cualquier accidente tener un seguro con que pagar                                                                                                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
Para proteger el auto de cualquier percanse                                                                                                                                                                                                                    ,ASEGURAR MI PATRIMONIO,,
para poder adquirir un auto nuevo en caso de que tenga algun accidente                                                                                                                                                                                         ,ASEGURAR MI PATRIMONIO,PARA COMPRAR UN AUTO,
los accidentes de coches siempre estan en riesgo así que es una forma de sentirse más tranquilo en caso de accidente automovilistico                                                                                                                         ,ASEGURAR MI PATRIMONIO,,
en casode un choque que quede cubrido                                                                                                                                                                                                                          ,ASEGURAR MI PATRIMONIO,,
"andando en la calle siempre suelen pasar accidentes, así que creo es mejor estar prevenidos                                                                                                                                                                   ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
"para algún imprevisto, ya que los accidentes están a la orden del dia                                                                                                                                                                                        ",PARA TENER UN RESPALDO EN EMERGENCIAS,,
como dueño de 3 microbuses es una gran ventaja y para mi auto personal                                                                                                                                                                                        ,ASEGURAR MI PATRIMONIO,,
por la zona en la que vivo roban mucho los carros                                                                                                                                                                                                              ,ASEGURAR MI PATRIMONIO,,
para cualquier accidente qe pueda pasar siempre es bueno estar asegurado en lugar de endeudarse mucho                                                                                                                                                          ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
asegurar mi pertenencia por cualquier accidente o robo                                                                                                                                                                                                         ,PARA TENER UN RESPALDO EN EMERGENCIAS,,
asegurar el carro                                                                                                                                                                                                                                              ,ASEGURAR MI PATRIMONIO,,
Porque ahora ya es obligatorio tenerlo.                                                                                                                                                                                                                        ,ASEGURAR MI PATRIMONIO,,
En caso de algún choque o para asistencia víal o legal.                                                                                                                                                                                                      ,ASEGURAR MI PATRIMONIO,,
